nome,descricao,preco,quantidade,categoria,sku,gtin,ncm,imagem
"Smartphone Samsung Galaxy A54 5G","Smartphone Samsung Galaxy A54 5G, 128GB, 8GB RAM, Tela 6.4"", Câmera Tripla Traseira + Selfie 32MP, Dual Chip, Android 13",1899.90,25,Smartphones,SM-A546E-128,7892509122344,85171231,https://images.pexels.com/photos/404280/pexels-photo-404280.jpeg
"Notebook Dell Inspiron 15","Notebook Dell Inspiron 15 3000, Intel Core i5-1135G7, 8GB RAM, SSD 256GB, Tela 15.6"" Full HD, Windows 11",3499.90,15,Notebooks,DL-I15-3511-I5,7899864532156,84713012,https://images.pexels.com/photos/18105/pexels-photo.jpg
"Smart TV LG 50"" 4K UHD","Smart TV LG 50"" 4K UHD, 50UQ8050, 60Hz, WiFi, Bluetooth, HDR, 3 HDMI, 2 USB, Inteligência Artificial ThinQ AI",2599.90,10,TVs,LG-50UQ8050,7893299876543,85287200,https://images.pexels.com/photos/6976103/pexels-photo-6976103.jpeg
"Fone de Ouvido JBL Tune 510BT","Fone de Ouvido Bluetooth JBL Tune 510BT, On Ear, com Microfone, Preto, Conexão Multipoint",249.90,50,Áudio,JBLT510BT-BLK,7892265098765,85183000,https://images.pexels.com/photos/3394650/pexels-photo-3394650.jpeg
"Câmera Digital Canon EOS Rebel T7+","Câmera Digital Canon EOS Rebel T7+ com Lente 18-55mm, 24.1MP, Gravação Full HD, Wi-Fi, NFC",3299.90,8,Câmeras,CAN-EOST7-KIT,8714574656458,90066100,https://images.pexels.com/photos/51383/photo-camera-subject-photographer-51383.jpeg
"Impressora Multifuncional HP DeskJet 2774","Impressora Multifuncional HP DeskJet 2774, Jato de Tinta, Colorida, Wi-Fi, USB, Bivolt",399.90,20,Impressoras,HP-DJ2774,1957364829105,84433111,https://images.pexels.com/photos/4792733/pexels-photo-4792733.jpeg
"Console PlayStation 5 Sony","Console PlayStation 5 Sony, 825GB SSD, Controle DualSense, Branco",4499.90,5,Games,SONY-PS5-825,7111940284756,95045000,https://images.pexels.com/photos/442576/pexels-photo-442576.jpeg
"Ar Condicionado Split Inverter Electrolux 12000 BTUs","Ar Condicionado Split Inverter Electrolux 12000 BTUs, Frio, Função Siga-me, Função Turbo, 220V",1899.90,12,Eletrodomésticos,ELUX-QI12F,7896584764321,84151011,https://images.pexels.com/photos/3689532/pexels-photo-3689532.jpeg
"Tablet Samsung Galaxy Tab S8","Tablet Samsung Galaxy Tab S8, 11"", 128GB, 8GB RAM, Wi-Fi, Android 12, Câmera Traseira 13MP + 6MP, Frontal 12MP",3999.90,10,Tablets,SM-X700-128,7892509112345,84713019,https://images.pexels.com/photos/1334597/pexels-photo-1334597.jpeg
"Smartwatch Amazfit GTR 3 Pro","Smartwatch Amazfit GTR 3 Pro, Tela AMOLED 1.45"", GPS, Bluetooth, 150+ Modos Esportivos, Monitor Cardíaco",1299.90,15,Wearables,AMZ-GTR3PRO,6972596102090,85171300,https://images.pexels.com/photos/437037/pexels-photo-437037.jpeg
